iter	Logloss
0	0.6729851939
1	0.6534645129
2	0.6394931861
3	0.6238348746
4	0.6114389544
5	0.6008813625
6	0.5901675647
7	0.5799890296
8	0.5721040835
9	0.5637892169
10	0.5551383515
11	0.5491257518
12	0.5427924611
13	0.537776781
14	0.5329611545
15	0.5283135426
16	0.5243807792
17	0.5203797588
18	0.5171539306
19	0.5138966074
20	0.5114933796
21	0.5080341535
22	0.5059932975
23	0.5048471762
24	0.5020185674
25	0.500300899
26	0.4984288382
27	0.4976374657
28	0.4958638648
29	0.4936242478
30	0.4921134838
31	0.490783255
32	0.4901035244
33	0.489145216
34	0.4878466465
35	0.4867927358
36	0.4855003885
37	0.4843451662
38	0.483262259
39	0.4816568326
40	0.4807463746
41	0.4799611239
42	0.4786820563
43	0.4781578186
44	0.4777288414
45	0.4767134615
46	0.4757026766
47	0.4754156493
48	0.4750481811
49	0.4744807289
50	0.474156384
51	0.4740183035
52	0.47358801
53	0.4726790213
54	0.4720215369
55	0.4714169524
56	0.4711381103
57	0.4701730179
58	0.4692976095
59	0.468718876
60	0.4685516766
61	0.467829389
62	0.4676488808
63	0.4671574954
64	0.4666746378
65	0.4661938797
66	0.4660031136
67	0.465531125
68	0.4651439365
69	0.4646701191
70	0.4643913582
71	0.4638787397
72	0.4637590738
73	0.4631431414
74	0.4625795854
75	0.4619951001
76	0.4619350154
77	0.4617154216
78	0.4614172465
79	0.4611098711
80	0.4604987962
81	0.4604463215
82	0.4602002471
83	0.4598970158
84	0.4597355328
85	0.4593980819
86	0.4593328377
87	0.4591590611
88	0.4587829438
89	0.4585932607
90	0.4585680014
91	0.4581210612
92	0.4580777302
93	0.4576908631
94	0.457297283
95	0.457262361
96	0.4569352827
97	0.4568892193
98	0.4564555233
99	0.4561660535
100	0.456122871
101	0.4559896776
102	0.4555430014
103	0.4552396757
104	0.4550880067
105	0.4547129629
106	0.4544383596
107	0.4542064826
108	0.4539173646
109	0.4537053629
110	0.4535846743
111	0.4532804708
112	0.45302752
113	0.4530110568
114	0.4527964939
115	0.4525253347
116	0.4523315188
117	0.4523262819
118	0.4523015411
119	0.4522725516
120	0.4521776064
121	0.4520299804
122	0.4519228177
123	0.4518819103
124	0.4512648125
125	0.4512473144
126	0.4511908506
127	0.4511899192
128	0.4509530902
129	0.4501384725
130	0.4499244947
131	0.4495051772
132	0.4490107773
133	0.4488142962
134	0.4482260216
135	0.4478780304
136	0.4478743543
137	0.4476785251
138	0.4475221604
139	0.4471424177
140	0.4471399274
141	0.4469101717
142	0.4468267791
143	0.4465528686
144	0.4462287825
145	0.4461773303
146	0.4454993155
147	0.4452270578
148	0.4452270513
149	0.4452261797
150	0.4449608936
151	0.4448096921
152	0.4445959555
