iter	Passed	Remaining
0	197	197417
1	244	122045
2	280	93323
3	326	81220
4	372	74174
5	419	69495
6	462	65648
7	509	63234
8	555	61190
9	599	59364
10	647	58216
11	686	56535
12	732	55619
13	776	54687
14	820	53856
15	863	53133
16	916	53017
17	964	52593
18	1009	52110
19	1054	51649
20	1097	51151
21	1141	50737
22	1189	50506
23	1212	49301
24	1261	49191
25	1310	49104
26	1361	49049
27	1391	48287
28	1441	48259
29	1487	48083
30	1534	47952
31	1582	47877
32	1609	47165
33	1641	46624
34	1686	46511
35	1738	46546
36	1787	46518
37	1836	46498
38	1884	46434
39	1931	46362
40	1979	46301
41	2028	46270
42	2075	46197
43	2125	46175
44	2177	46217
45	2226	46173
46	2271	46053
47	2290	45431
48	2316	44958
49	2362	44880
50	2395	44582
51	2421	44144
52	2467	44084
53	2518	44127
54	2575	44249
55	2623	44221
56	2674	44239
57	2725	44265
58	2776	44284
59	2825	44272
60	2850	43878
61	2916	44120
62	2949	43872
63	3019	44162
64	3070	44174
65	3122	44192
66	3169	44134
67	3218	44119
68	3270	44127
69	3318	44092
70	3366	44046
71	3425	44150
72	3474	44116
73	3522	44075
74	3573	44073
75	3625	44079
76	3654	43801
77	3702	43770
78	3750	43728
79	3801	43715
80	3847	43651
81	3866	43287
82	3919	43308
83	3968	43273
84	4000	43068
85	4051	43059
86	4070	42716
87	4118	42677
88	4166	42645
89	4212	42597
90	4231	42272
91	4280	42249
92	4306	42000
93	4358	42005
94	4405	41967
95	4423	41659
96	4471	41630
97	4489	41323
98	4534	41267
99	4584	41262
100	4603	40971
101	4648	40924
102	4703	40962
103	4756	40977
104	4806	40967
105	4852	40924
106	4896	40869
107	4943	40826
108	4993	40819
109	5039	40775
110	5073	40630
111	5120	40598
112	5166	40554
113	5185	40301
114	5234	40279
115	5286	40283
116	5336	40277
117	5357	40041
118	5374	39787
119	5401	39610
120	5430	39452
121	5479	39435
122	5517	39338
123	5542	39153
124	5593	39156
125	5613	38937
126	5638	38761
127	5658	38550
128	5705	38522
129	5751	38487
130	5803	38498
131	5850	38474
132	5896	38435
133	5944	38415
134	5999	38440
135	6048	38424
136	6066	38212
137	6117	38209
138	6168	38211
139	6217	38193
140	6234	37984
141	6284	37974
142	6328	37924
143	6378	37915
144	6431	37922
145	6475	37879
146	6525	37865
147	6576	37858
148	6596	37672
149	6612	37473
150	6663	37466
151	6712	37450
152	6760	37425
153	6809	37409
154	6839	37284
155	6858	37108
156	6909	37098
157	6932	36943
158	6981	36926
159	7031	36912
160	7080	36897
161	7128	36876
162	7154	36740
163	7202	36716
164	7247	36675
165	7295	36653
