iter	Passed	Remaining
0	191	190933
1	240	120094
2	278	92479
3	325	81053
4	373	74244
5	423	70198
6	467	66338
7	516	64080
8	564	62127
9	610	60398
10	659	59321
11	701	57726
12	748	56795
13	794	55957
14	843	55363
15	889	54709
16	940	54395
17	990	54064
18	1037	53572
19	1084	53122
20	1128	52626
21	1174	52228
22	1224	52022
23	1249	50825
24	1302	50793
25	1353	50719
26	1404	50599
27	1435	49838
28	1487	49805
29	1533	49597
30	1583	49485
31	1631	49365
32	1659	48633
33	1699	48292
34	1748	48201
35	1798	48165
36	1849	48127
37	1898	48059
38	1948	48008
39	1997	47933
40	2045	47837
41	2096	47814
42	2146	47778
43	2199	47788
44	2252	47804
45	2306	47835
46	2353	47728
47	2373	47077
48	2400	46590
49	2447	46511
50	2482	46193
51	2509	45746
52	2559	45740
53	2612	45766
54	2666	45819
55	2723	45915
56	2775	45923
57	2827	45919
58	2881	45963
59	2937	46024
60	2964	45634
61	3016	45636
62	3043	45259
63	3094	45254
64	3146	45260
65	3200	45289
66	3247	45227
67	3299	45220
68	3355	45277
69	3410	45311
70	3459	45265
71	3519	45362
72	3569	45326
73	3618	45278
74	3670	45275
75	3723	45274
76	3753	44999
77	3805	44983
78	3857	44966
79	3910	44966
80	3958	44914
81	3978	44541
82	4031	44540
83	4081	44512
84	4118	44333
85	4285	45541
86	4306	45196
87	4370	45299
88	4425	45294
89	4476	45265
90	4496	44915
91	4548	44894
92	4569	44568
93	4625	44578
94	4676	44554
95	4696	44223
96	4746	44181
97	4765	43865
98	4813	43806
99	4868	43814
100	4887	43502
101	4936	43456
102	4986	43427
103	5040	43427
104	5093	43416
105	5141	43365
106	5185	43276
107	5235	43241
108	5287	43220
109	5335	43166
110	5369	43008
111	5419	42966
112	5471	42946
113	5491	42679
114	5541	42646
115	5595	42641
116	5648	42629
117	5669	42376
118	5691	42134
119	5709	41869
120	5738	41689
121	5790	41675
122	5830	41570
123	5856	41371
124	5913	41394
125	5933	41156
126	5960	40971
127	5980	40739
128	6027	40699
129	6077	40670
130	6130	40665
131	6179	40632
132	6225	40583
133	6274	40549
134	6330	40563
135	6383	40551
136	6401	40325
137	6455	40321
138	6508	40316
139	6559	40294
140	6577	40072
141	6631	40069
142	6684	40060
143	6743	40084
144	6799	40092
145	6848	40059
146	6918	40147
147	6977	40170
148	7000	39981
149	7018	39774
150	7075	39781
151	7129	39776
152	7183	39767
153	7239	39769
154	7268	39624
155	7290	39441
156	7345	39443
157	7373	39292
158	7427	39286
159	7484	39293
160	7544	39314
161	7603	39332
162	7639	39229
163	7694	39222
164	7747	39206
165	7803	39206
166	7866	39237
167	7892	39086
168	7942	39054
169	8007	39094
170	8066	39105
171	8113	39056
172	8171	39060
173	8234	39089
174	8297	39117
175	8367	39175
176	8440	39246
177	8506	39283
178	8564	39283
179	8623	39283
180	8678	39269
181	8732	39246
182	8785	39221
183	8853	39263
184	8912	39264
185	8984	39317
186	9047	39333
187	9112	39356
188	9167	39338
189	9227	39340
190	9284	39325
191	9340	39305
192	9396	39291
193	9453	39275
194	9509	39256
195	9566	39240
196	9624	39231
197	9684	39225
198	9741	39212
199	9799	39196
200	9854	39174
201	9907	39139
202	9962	39111
203	10021	39102
204	10080	39091
205	10133	39057
206	10190	39040
207	10321	39302
208	10431	39481
209	10522	39586
210	10581	39567
211	10636	39535
212	10690	39499
213	10750	39484
214	10805	39454
215	10860	39420
216	10918	39398
217	10972	39358
218	11025	39318
219	11079	39281
220	11132	39242
221	11191	39219
222	11249	39195
223	11301	39151
224	11359	39126
225	11414	39092
226	11468	39053
227	11525	39023
228	11586	39010
229	11646	38991
230	11702	38956
231	11763	38940
232	11820	38911
233	11880	38892
234	11936	38856
235	11993	38825
236	12047	38786
237	12107	38762
238	12168	38745
239	12223	38707
240	12281	38678
241	12340	38654
242	12396	38619
243	12451	38579
244	12502	38529
245	12557	38490
246	12610	38445
247	12668	38414
248	12729	38393
249	12787	38361
250	12845	38331
251	12898	38287
252	12956	38254
253	13017	38232
254	13079	38213
255	13137	38180
256	13194	38146
257	13248	38103
258	13304	38064
259	13362	38030
260	13417	37990
261	13474	37955
262	13529	37914
263	13586	37876
264	13639	37831
265	13694	37787
266	13746	37737
267	13801	37695
268	13858	37659
269	13918	37631
270	13974	37591
271	14032	37556
272	14088	37516
273	14144	37477
274	14198	37432
275	14256	37397
276	14317	37369
277	14375	37334
278	14435	37304
279	14493	37269
280	14552	37234
281	14608	37193
282	14664	37152
283	14722	37116
284	14780	37081
285	14841	37052
286	14910	37042
287	14970	37010
288	15029	36975
289	15083	36927
290	15146	36902
291	15203	36863
292	15260	36822
293	15315	36777
294	15373	36740
295	15425	36687
296	15481	36645
297	15536	36599
298	15594	36561
299	15647	36511
300	15708	36478
301	15766	36441
302	15825	36403
303	15881	36359
304	15933	36307
305	15986	36256
306	16040	36207
307	16092	36155
308	16146	36106
309	16195	36049
310	16243	35986
311	16291	35925
312	16346	35878
313	16398	35825
314	16444	35760
315	16501	35717
316	16555	35669
317	16608	35619
318	16660	35567
319	16711	35512
320	16761	35454
321	16819	35414
322	16886	35393
323	16950	35365
324	17008	35325
325	17068	35288
326	17122	35239
327	17222	35285
328	17287	35258
329	17345	35217
330	17412	35193
331	17487	35185
332	17544	35141
333	17600	35096
334	17659	35055
335	17723	35024
336	17803	35025
337	17902	35064
338	17982	35063
339	18044	35027
340	18098	34976
341	18152	34925
342	18211	34882
343	18271	34843
344	18329	34798
345	18386	34753
346	18463	34745
347	18524	34706
348	18585	34668
349	18645	34626
350	18705	34587
351	18766	34547
352	18826	34505
353	18901	34492
354	18966	34459
355	19019	34405
356	19080	34365
357	19137	34319
358	19195	34273
359	19259	34238
360	19323	34203
361	19386	34167
362	19448	34128
363	19504	34078
364	19562	34032
365	19617	33982
366	19673	33933
